# Cycle: 1
# Start Time: 2026-01-21 14:15:23
# Sample Rate: 100 Hz
# Format: Timestamp(ms),Ax(m/s²),Ay,Az,Gx(°/s),Gy,Gz
Timestamp,Ax,Ay,Az,Gx,Gy,Gz
21,-0.830,4.156,8.846,-0.039,-0.207,-0.017
49,-0.837,4.167,8.856,0.006,-0.222,-0.002
59,-0.830,4.172,8.827,-0.223,-0.115,0.212
69,-0.829,4.176,8.820,-0.528,0.037,0.303
79,-0.827,4.174,8.788,-0.757,0.129,0.395
89,-0.818,4.154,8.832,-0.879,0.144,0.410
98,-0.830,4.150,8.834,-0.940,0.159,0.319
109,-0.835,4.155,8.841,-0.742,0.068,0.242
119,-0.827,4.154,8.845,-0.574,-0.024,0.166
129,-0.828,4.141,8.853,-0.253,0.007,0.059
139,-0.837,4.152,8.870,-0.039,-0.008,-0.063
149,-0.839,4.156,8.836,-0.085,0.022,-0.033
159,-0.835,4.158,8.814,-0.177,0.053,-0.048
169,-0.825,4.170,8.799,-0.390,0.053,0.044
179,-0.842,4.184,8.828,-0.635,0.175,0.090
189,-0.830,4.150,8.846,-0.818,0.221,0.151
199,-0.849,4.147,8.815,-0.940,0.266,0.212
209,-0.846,4.148,8.816,-0.940,0.144,0.196
219,-0.847,4.165,8.847,-0.787,0.022,0.212
229,-0.839,4.148,8.836,-0.650,0.007,0.166
239,-0.816,4.152,8.833,-0.375,-0.039,0.090
249,-0.819,4.159,8.842,-0.116,-0.008,0.105
259,-0.799,4.161,8.847,-0.024,-0.085,0.151
269,-0.828,4.149,8.828,-0.055,-0.085,0.151
279,-0.825,4.156,8.829,-0.085,-0.100,0.105
289,-0.839,4.184,8.840,-0.253,-0.146,0.135
299,-0.821,4.160,8.788,-0.482,-0.131,0.257
309,-0.813,4.142,8.817,-0.558,-0.115,0.288
319,-0.834,4.142,8.859,-0.681,0.022,0.334
329,-0.821,4.146,8.856,-0.665,0.098,0.288
339,-0.822,4.162,8.866,-0.604,0.205,0.242
349,-0.817,4.185,8.832,-0.482,0.190,0.151
359,-0.809,4.176,8.850,-0.360,0.144,0.059
369,-0.819,4.185,8.822,-0.192,0.098,0.059
379,-0.825,4.185,8.827,-0.161,0.007,-0.017
389,-0.845,4.158,8.840,0.068,-0.115,0.120
399,-0.834,4.156,8.847,0.434,-0.008,0.364
409,-0.839,4.160,8.851,0.800,0.144,0.319
419,-0.811,4.161,8.828,1.029,0.251,0.090
429,-0.816,4.160,8.793,1.090,-0.054,-0.216
439,-0.822,4.161,8.822,0.831,-0.207,-0.384
449,-0.836,4.161,8.817,0.465,-0.344,-0.155
459,-0.843,4.177,8.817,-0.070,-0.390,0.257
469,-0.810,4.164,8.805,-0.635,-0.360,0.563
479,-0.822,4.158,8.826,-1.062,-0.192,0.578
489,-0.800,4.154,8.864,-0.986,0.114,0.715
499,-0.795,4.140,8.891,-0.207,0.388,1.006
509,-0.779,4.130,8.893,1.045,0.923,1.128
519,-0.803,4.155,8.856,2.510,1.030,0.639
529,-0.800,4.179,8.780,3.671,0.511,-0.307
539,-0.825,4.211,8.809,4.098,-0.268,-1.132
549,-0.836,4.215,8.762,3.548,-1.016,-1.529
559,-0.866,4.223,8.765,2.174,-1.688,-1.086
569,-0.836,4.235,8.739,0.159,-1.642,-0.124
579,-0.815,4.256,8.780,-2.161,-0.665,0.670
589,-0.801,4.190,8.800,-3.765,0.434,1.509
599,-0.810,4.158,8.854,-3.826,1.686,2.196
609,-0.798,4.113,8.939,-2.207,2.709,2.349
619,-0.799,4.086,8.975,1.197,2.679,2.044
629,-0.803,4.115,8.981,5.655,1.671,1.128
639,-0.775,4.168,8.924,9.686,0.373,-0.659
649,-0.819,4.213,8.826,12.388,-1.047,-2.399
659,-0.848,4.271,8.751,13.014,-2.466,-3.315
669,-0.880,4.340,8.659,11.182,-2.894,-2.964
679,-0.877,4.373,8.591,7.365,-2.070,-1.514
689,-0.858,4.391,8.574,2.449,-0.558,0.441
699,-0.833,4.383,8.621,-2.574,1.198,1.952
709,-0.812,4.341,8.699,-6.253,2.663,2.807
719,-0.804,4.250,8.802,-7.337,3.518,3.189
729,-0.817,4.204,8.897,-5.719,3.442,2.853
739,-0.813,4.197,8.929,-2.192,2.434,1.677
749,-0.822,4.190,8.907,2.159,0.465,-0.078
759,-0.806,4.217,8.866,6.007,-1.383,-2.048
769,-0.831,4.264,8.810,8.266,-2.650,-3.529
779,-0.860,4.295,8.750,8.312,-2.909,-3.605
789,-0.870,4.364,8.672,6.159,-2.283,-2.475
799,-0.836,4.395,8.571,2.281,-0.726,-0.781
809,-0.827,4.405,8.591,-2.299,0.984,0.929
819,-0.840,4.393,8.660,-6.100,2.144,2.166
829,-0.833,4.312,8.725,-8.742,3.549,3.250
839,-0.852,4.228,8.817,-8.604,3.503,3.525
849,-0.835,4.180,8.907,-5.963,2.312,2.700
859,-0.812,4.180,8.927,-2.024,0.724,1.143
869,-0.825,4.180,8.885,2.266,-1.444,-0.689
879,-0.810,4.220,8.857,5.671,-2.940,-2.078
889,-0.828,4.259,8.805,7.594,-3.795,-2.903
899,-0.833,4.338,8.725,7.060,-3.138,-2.552
909,-0.825,4.366,8.680,4.495,-1.902,-1.223
919,-0.822,4.395,8.641,0.739,-0.299,0.135
929,-0.804,4.362,8.641,-3.383,1.366,1.326
939,-0.748,4.269,8.709,-6.894,1.808,2.395
949,-0.719,4.222,8.777,-9.429,1.427,3.082
959,-0.709,4.147,8.847,-9.505,0.541,2.578
969,-0.667,4.082,8.914,-7.383,-1.520,1.174
979,-0.610,4.062,8.973,-4.848,-3.734,-0.796
989,-0.639,4.148,8.974,-1.917,-5.489,-2.216
999,-0.736,4.140,8.893,1.213,-6.757,-2.933
1009,-0.739,4.183,8.815,1.564,-7.306,-5.315
1019,-0.837,4.307,8.751,0.449,-6.451,-6.124
